Chemical Name;Chemical ID;CAS RN;Disease Name;Disease ID;Direct Evidence;Inference Network;Inference Score;Reference Count;;;;;;;;;;;
Lead;D007854;7439-92-1;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;ABCB1|ABCC2|ABCC3|AHR|B3GNT9|BAIAP2L1|CALD1|CAT|CAV2|CD83|CP|CRP|CSF2|CTSD|CXCL8|CXCR4|CYBB|F2|FOXP3|GC|GRK6|GSDME|HCLS1|HDAC1|HLA-DRB1|IFNG|IL10|IL18|IL1B|IL6|IRF8|KIF5A|LCN2|MAB21L2|MMP2|PADI4|PON1|POU3F1|PTGS2|PTK2|PTPRC|RAB8A|RCAN1|RUNX2|SOD2|SPRED2|STAT1|TLR2|TMPO|TNF|VEGFA;40.03;34;;;;;;;;;;;
Adjuvants; Immunologic;D000276;;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;CAT|CD40|CD83|COL2A1|CXCL8|IL18|IL1B|IL6|PTGS2|TNF;36.30;15;;;;;;;;;;
Enalapril;D004656;75847-73-3;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;ABCC4|ADIPOQ|BDKRB2|CAT|CCN2|CXCL8|FASLG|IL1B|IL6|IRAK1|MPO|PTGS1|PTGS2|RUNX2|SOD2|TNF|TRAF6|VEGFA;36.19;19;;;;;;;;;;;
Maneb;D008344;12427-38-2;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;ADORA2A|AFF3|BCL2A1|BMP4|CAT|CCL21|CYBB|DDIT4|ENO1|FKBP5|GRK6|GSDME|HAPLN1|IFNG|IL1B|IL6|MTHFR|NCF1|RASGRP1|RCAN1|SOD2|ST6GALNAC5|STAT4|TNF|TNFAIP3|TRAF6|VEGFA;34.24;23;;;;;;;;;;;
Nitrogen Dioxide;D009585;10102-44-0;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;ABCC2|CAT|CRP|CSF2|CXCL2|CXCL8|FOXP3|IFNG|IL10|IL1B|IL6|MPO|PTGS2|SOD2|TNF;33.64;18;;;;;;;;;;;
Kynurenic Acid;D007736;492-27-3;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;ABCC4|ABCG2|AHR|COL2A1|IL1B|IL6|MPO|TNF;28.83;13;;;;;;;;;;;
Sulfur Dioxide;D013458;05/09/7446;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;AHR|CAT|IFNG|IL10|IL18|IL1B|IL6|MPO|PTGS2|SOD2|TLR2|TNF;24.46;16;;;;;;;;;;;
Antigens;D000941;;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;AHR|IFNG|IL1B|IL6|STAT1|STAT4|TNF;21.48;12;;;;;;;;;;;
Nitrites;D009573;;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;CP|CSF2|IFNG|IL1B|SOD2|TLR2|TNF;21.18;12;;;;;;;;;;;
Pesticides;D010575;;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;ABCB1|ABCC4|AFF3|AHR|BLK|CAT|CP|CRP|GRK2|IL6|IL6R|MTHFR|PON1|REL|SOD2|STS|TNF|TNFAIP3;21.11;25;;;;;;;;;;;
Uranium;D014501;7440-61-1;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;ABCC2|BGN|CP|FASLG|IFNG|IL10|IL18|IL1B|MARCKS|PTGS2|PTK2|TNF|TNFRSF11B;21.02;17;;;;;;;;;;;
Tungsten;D014414;7440-33-7;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;ADIPOQ|AFF3|ATIC|CIITA|CLEC12A|CSF2|CXCL2|CXCR4|CYBB|DDX6|GIN1|IKZF3|IL18|IL1B|IL2RA|IL6|LCN2|LY96|MIF|MPO|NCF1|PADI4|PTPRC|RASGRP1|RUNX1|RUNX2|TLE3|TNF|TYK2;19.65;25;;;;;;;;;;;
mancozeb;C013099;07/01/8018;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;CAT|CXCL8|DDIT4|IFNG|IL1B|PTGS2|SOD2|TNF;13.86;12;;;;;;;;;;;
Antimony;D000965;7440-36-0;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;IFNG|TNFAIP3;3.95;7;;;;;;;;;;;
Niacin;D009525;;Sjogren's Syndrome;MESH:D012859;marker/mechanism;NCF1;3.68;2;;;;;;;;;;;
bisphenol A;C006780;80-05-7;Sjogren's Syndrome;MESH:D012859;marker/mechanism;DGKQ|FCGR2A|GTF2I|IL12A|IRAK1BP1|ITSN2|NCF1|PHIP|PRDM1|PTTG1|STAT4|TNFAIP3|TNIP1;2.68;4;;;;;;;;;;;
Fertilizers;D005308;;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;;;1;;;;;;;;;;;
Solvents;D012997;;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;;;1;;;;;;;;;;;
Amoxicillin-Potassium Clavulanate Combination;D019980;74469-00-4;Sjogren's Syndrome;MESH:D012859;marker/mechanism;;;1;;;;;;;;;;;
Aspartame;D001218;22839-47-0;Sjogren's Syndrome;MESH:D012859;marker/mechanism;;;1;;;;;;;;;;;
Enalapril;D004656;75847-73-3;Sjogren's Syndrome;MESH:D012859;marker/mechanism;;;1;;;;;;;;;;;
Thiabendazole;D013827;148-79-8;Sjogren's Syndrome;MESH:D012859;marker/mechanism;;;4;;;;;;;;;;;
Methotrexate;D008727;59-05-2;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism|therapeutic;ABCB1|ABCC2|ABCC3|ABCC4|ABCC5|ABCG2|ACKR3|ADORA2A|ALOX5|ARID5B|ATIC|B3GNT9|BCL2A1|BMP4|CAT|CAV2|CCL21|CCL8|CCN1|CCN2|CD2|CD28|CD83|CDK6|CTLA4|CXCL2|CXCL8|CXCR4|DDIT4|DHFR|ENO1|F2|FASLG|FCGR2A|FKBP5|FPGS|GART|GATA3|GGH|GPRC5A|GSDME|HDAC1|HLA-DPB1|HSD11B1|IFNG|IGFBP3|IL10|IL18|IL1B|IL1RN|IL23A|IL2RA|IL2RB|IL6|IL6R|IRAK1|IRF5|ITGA6|LCN2|LY96|MARCKS|MMP10|MMP12|MMP2|MPO|MTHFR|NDUFA4L2|NFKBIE|NR4A3|PON1|PRDM1|PTGS2|PTPRC|RAP2A|RASGRP1|RCAN1|RUNX2|SLC11A1|SMS|SOD2|ST6GALNAC5|STAT1|STAT4|STS|TFPI2|TLR2|TNF|TNFAIP2|TNFAIP3|TNFRSF11B|TNFSF14|TRAF1|TXNIP|TYK2|VEGFA;136.93;150;;;;;;;;;;;
Cyclosporine;D016572;59865-13-3;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism|therapeutic;ABCB1|ABCC2|ABCC3|ABCC4|ABCG2|ACKR3|ADIPOQ|AHR|ANXA3|B3GNT2|B3GNT9|BAIAP2L1|BMP4|BMP6|CAT|CAV2|CCN1|CCN2|CCR6|CD5|CD83|CDK6|COL2A1|CP|CRP|CSF2|CTSD|CXCL2|CXCL6|CXCL8|DDIT4|DHFR|DNASE1L3|ENO1|F2|FASLG|FCGR2A|FKBP5|GART|GC|GGH|GIN1|GPRC5A|GSDME|HDAC1|HLA-DRB1|HSD11B1|IFNG|IGFBP3|IL10|IL18|IL1B|IL1RN|IL2RA|IL6|IL6R|IL6ST|IRAK1|IRF8|ITGA6|LCN2|LY96|MARCKS|MGARP|MIF|MMP10|MMP12|MMP2|MPO|NCF2|NFKBIE|NFKBIL1|NR4A3|PON1|PRKCQ|PSG5|PTGS2|PTK2|PTPN2|PXK|RAB8A|RAP2A|RASGRP1|RCAN1|RGMB|RUNX1|SLC11A1|SLC22A4|SLC25A12|SOD2|SPRED2|STAT1|STAT4|STS|TFPI2|TLE3|TLR2|TMPO|TNF|TNFAIP2|TNFAIP3|TNFRSF11B|TNFSF14|TRAF1|TRAF6|TXNDC5|TXNIP|TYK2|VEGFA;64.80;46;;;;;;;;;;;
Leflunomide;D000077339;75706-12-6;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism|therapeutic;ADORA2A|AGER|AHR|ANXA3|ARID5B|CAT|CCN1|CCN2|CCR6|CD83|COL2A1|CP|CTSD|CXCL8|DDIT4|DDX6|DHFR|FOXP3|FPGS|IFNG|IGFBP3|IL10|IL1B|IL1RN|IL6|IL6R|IL6ST|IRAK1|MMP2|NFKBIE|NR4A3|RGMB|RUNX1|SLC22A4|SOD2|SPRED2|STS|TLE3|TMPO|TNF|TNFAIP2|TNFAIP3|TNFRSF11B|VEGFA;34.17;40;;;;;;;;;;;
Penicillamine;D010396;52-67-5;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism|therapeutic;CAT|CP|CRP|CSF2|CXCR4|HLA-DRB1|IFNG|IL10|IL1B|IL23A|IL6|MPO|PTGS1|SLC11A1|TNF;28.33;191;;;;;;;;;;;
Curcumin;D003474;458-37-7;Arthritis, Rheumatoid;MESH:D001172;therapeutic;ABCB1|ABCC2|ABCC4|ABCC5|ABCG2|ACKR3|ADIPOQ|ADORA2A|AGER|AHR|ALOX5|BCL2A1|BGN|CAT|CCN2|CD40|CDK6|COL2A1|CRP|CTSD|CXCL2|CXCL8|CXCR4|ENO1|F2|FASLG|HDAC1|IFNG|IGFBP3|IL10|IL18|IL1B|IL2RA|IL6|IL6R|IL6ST|IRAK1|IRF5|LCN2|MIF|MMP10|MMP2|MPO|PRKCQ|PTGS1|PTGS2|PTK2|RAB8A|REL|RUNX2|SOD2|STAT1|STAT4|STS|TLR2|TNF|TNFSF14|TRAF1|TRAF6|TXNIP|VEGFA;116.01;35;;;;;;;;;;;
Tretinoin;D014212;302-79-4;Arthritis, Rheumatoid;MESH:D001172;therapeutic;ABCB1|ABCC2|ABCC3|ABCC4|ABCG2|ACAN|ACKR3|ADORA2A|AFF3|AHR|ALOX5|ANXA3|ARID5B|ATIC|B3GNT2|B3GNT9|BAIAP2L1|BCL2A1|BDKRB2|BGN|BMP4|BMP6|CAT|CAV2|CCN1|CCN2|CCR6|CD244|CD40|CD83|CDK6|CIITA|CLEC12A|COL2A1|CP|CSF2|CTSD|CXCL8|CXCR4|CYBB|DDIT4|DDX6|DHFR|ENO1|F2|FASLG|FCGR2A|FKBP5|GART|GATA3|GC|GIN1|GPRC5A|GRK2|GRK6|HAPLN1|HCLS1|HDAC1|HOXD10|HOXD11|HOXD13|IFNG|IGFBP3|IKZF3|IL10|IL18|IL1B|IL1RN|IL6|IL6R|IL6ST|IRF8|ITGA6|LCN2|LHX2|MAB21L2|MARCKS|MGARP|MIF|MMP10|MMP2|MPO|MTHFR|NCF1|NCF2|NFKBIE|NR4A3|PADI4|PLB1|PLD4|PLEK|POU3F1|PRDM1|PRKCQ|PTGS1|PTGS2|PTK2|PTPN22|PTPRC|RAB8A|RAP2A|RASGRP1|RBPJ|RCAN1|REL|RUNX1|RUNX2|SLC22A4|SOD2|SPRED2|ST6GALNAC5|STAT1|STS|TAGAP|TFPI2|TLE3|TLR2|TMPO|TNF|TNFAIP2|TNFAIP3|TNFRSF11B|TNFRSF14|TNFSF14|TRAF1|TRAF6|TXNDC5|TXNIP|TYK2|VEGFA;103.76;50;;;;;;;;;;;
Prednisolone;D011239;50-24-8;Arthritis, Rheumatoid;MESH:D001172;therapeutic;ABCB1|ACKR3|ADORA2A|AHR|BCL2A1|CAT|CCN1|CCN2|CXCL2|CXCL8|CXCR4|GDF5|GSDME|HSD11B1|IFNG|IL10|IL18|IL1B|IL1RN|IL23A|IL6|LCN2|LY96|MARCKS|MMP10|MMP12|MMP2|MPO|NDUFA4L2|NR4A3|PTGS2|SMS|SOD2|STAT4|STS|TFPI2|TLR2|TNF|TNFAIP2|TXNIP|VEGFA;99.24;32;;;;;;;;;;;
Diclofenac;D004008;15307-86-5;Arthritis, Rheumatoid;MESH:D001172;therapeutic;ABCC2|ABCC4|ACKR3|ADORA2A|AGER|AHR|ARID5B|BCL2A1|BMP4|BMP6|CAT|CCN1|CD244|CD28|CDK6|CRP|CTLA4|CXCL2|CXCL8|CXCR4|CYBB|DDIT4|DHFR|ENO1|GART|GC|HLA-DRB1|IFNG|IGFBP3|IL10|IL1B|IL1RN|IL23A|IL6|LCN2|LHX2|MMP12|MPO|NCF1|PON1|PRDM1|PSG5|PTGS1|PTGS2|PTK2|PTPN2|PTPRC|RCAN1|RUNX2|SOD2|STAT1|STAT4|STS|TLR2|TNF|TNFAIP3|TXNIP|VEGFA;97.66;44;;;;;;;;;;;
Gold Sodium Thiomalate;D006052;12244-57-4;Arthritis, Rheumatoid;MESH:D001172;therapeutic;ACKR3|ADORA2A|BCL2A1|CCN1|CD28|CXCL2|CXCL8|CXCR4|GSDME|HSD11B1|IFNG|IL10|IL1B|IL1RN|IL23A|IL6|MARCKS|MMP10|NDUFA4L2|NR4A3|PTGS2|SMS|SOD2|STAT1|STS|TLR2|TNFAIP2|TXNIP;95.49;28;;;;;;;;;;;
Acetaminophen;D000082;103-90-2;Arthritis, Rheumatoid;MESH:D001172;therapeutic;ABCB1|ABCC2|ABCC3|ABCC4|ABCC5|ABCG2|ACKR3|ADORA2A|AFF3|AGER|AHR|ALOX5|ANKRD55|ANXA3|ATIC|B3GNT2|B3GNT9|BAIAP2L1|BDKRB2|BGN|BLK|BMP4|BMP6|CALD1|CAT|CAV2|CCN1|CCN2|CCR6|CD2|CD28|CD3E|CD40|CD83|CDK6|CIITA|CLEC12A|COL2A1|CP|CRP|CSF2|CTLA4|CTSD|CXCL2|CXCL6|CXCL8|CXCR4|CYBB|DDIT4|DDX6|DHFR|DNASE1L3|ENO1|F2|FASLG|FCGR2A|FKBP5|FOXP3|FPGS|GART|GATA3|GC|GGH|GIN1|GPRC5A|GRK2|GRK6|GSDME|HCLS1|HDAC1|HLA-DPB1|HLA-DRB1|HOXD10|HOXD11|HSD11B1|IFNG|IGFBP3|IL10|IL18|IL1B|IL1RN|IL23A|IL2RA|IL6|IL6R|IL6ST|IRAK1|IRF5|IRF8|ITGA6|KIF5A|LCN2|LHX2|LY96|MARCKS|MIF|MMP10|MMP12|MMP2|MPO|MTHFR|NCF1|NCF2|NDUFA4L2|NFKBIE|NFKBIL1|NR4A3|PADI4|PLD4|PLEK|PON1|POU3F1|PRDM1|PRKCQ|PSG5|PTGS1|PTGS2|PTK2|PTPN2|PTPN22|PTPRC|PXK|RAB8A|RAP2A|RASGRP1|RCAN1|REL|RGMB|RUNX1|RUNX2|SLC11A1|SLC22A4|SLC25A12|SMS|SOD2|SPRED2|STAT1|STAT4|STS|TAGAP|TFPI2|TLE3|TLR2|TMPO|TNF|TNFAIP2|TNFAIP3|TNFRSF11B|TNFRSF14|TNFSF14|TRAF1|TRAF6|TXNDC5|TXNIP|TYK2|VEGFA;93.58;55;;;;;;;;;;;
Arsenic Trioxide;D000077237;1327-53-3;Arthritis, Rheumatoid;MESH:D001172;therapeutic;ABCB1|ABCC2|ABCC3|ABCC4|ABCC5|ABCG2|ADIPOQ|AHR|ANXA3|ARID5B|ATIC|BAIAP2L1|BCL2A1|CALD1|CAT|CAV2|CCN1|CCN2|CD40|CDK6|CIITA|CP|CRP|CSF2|CTSD|CXCL2|CXCL8|CXCR4|CYBB|DDIT4|FASLG|FKBP5|FOXP3|GART|GATA3|GGH|GPRC5A|HCLS1|HDAC1|IFNG|IGFBP3|IL10|IL18|IL1B|IL1RN|IL23A|IL6|IL6ST|IRAK1|ITGA6|LCN2|LY96|MARCKS|MIF|MMP12|MMP2|MPO|NCF1|NCF2|NFKBIE|PTGS1|PTGS2|PTPRC|PXK|REL|RUNX2|SLC11A1|SMS|SOD2|STAT1|STAT4|TAGAP|TLR2|TMPO|TNF|TNFAIP3|TNFRSF11B|TNFRSF14|TNFSF14|TRAF1|TRAF6|TXNIP|TYK2|VEGFA;93.57;39;;;;;;;;;;;
Methylprednisolone;D008775;83-43-2;Arthritis, Rheumatoid;MESH:D001172;therapeutic;ABCB1|ABCG2|ACKR3|ADORA2A|BCL2A1|CAT|CCN1|CCN2|CTSD|CXCL2|CXCL8|CXCR4|DDIT4|GSDME|HSD11B1|IL10|IL1B|IL1RN|IL23A|IL6|MARCKS|MMP10|MMP12|MPO|NDUFA4L2|NR4A3|PTGS2|RUNX2|SMS|SOD2|STAT1|STAT4|STS|TLR2|TNF|TNFAIP2|TXNIP;92.50;30;;;;;;;;;;;
Ozone;D010126;10028-15-6;Arthritis, Rheumatoid;MESH:D001172;therapeutic;ABCB1|ABCC3|ABCC4|ABCG2|ADIPOQ|ADORA2A|AFF3|AGER|AHR|ALOX5|ANXA3|BCL2A1|BDKRB2|BLK|BMP4|BMP6|CALD1|CAT|CCL21|CCL8|CCN1|CD2|CD244|CD28|CD3E|CD40|CD5|CD83|CDK6|CIITA|CP|CRP|CSF2|CTSD|CXCL2|CXCL6|CXCL8|CXCR4|CYBB|DDIT4|DHFR|DNASE1L3|ENO1|F2|FKBP5|FOXP3|FPGS|GART|GATA3|GRK2|GRK6|HAPLN1|HCLS1|HLA-DRB1|HSD11B1|IFNG|IGFBP3|IKZF3|IL10|IL18|IL1B|IL1RN|IL23A|IL2RB|IL6|IL6R|IL6ST|IRAK1|IRF5|IRF8|ITGA6|LCN2|MARCKS|MIF|MMP10|MMP12|MMP2|NCF1|NCF2|NDUFA4L2|NFKBIL1|NR4A3|PADI4|PLD4|PON1|PRDM1|PRKCQ|PTGS1|PTGS2|PTK2|PTPN2|PTPN22|PTPRC|RAP2A|RASGRP1|REL|SLC11A1|SLC22A4|SOD2|SPRED2|STAT1|STAT4|TAGAP|TFPI2|TLE3|TLR2|TNF|TNFAIP2|TNFAIP3|TNFRSF11B|TNFRSF14|TNFSF14|TRAF1|TXNIP|TYK2|VEGFA;87.76;48;;;;;;;;;;;
