Chemical Name;Chemical ID;CAS RN;Disease Name;Disease ID;Direct Evidence;Inference Network;Inference Score;Reference Count;;;;;;;;;;;;;;
Cyclophosphamide;D003520;50-18-0;Pain;MESH:D010146;marker/mechanism;ABCB1A|ADM|AKT1|BDKRB1|BDKRB2|COMT|CRH|CSF2|DRD2|EDN1|HCRT|IL1RN|IL2|NPPA|NPPB|NRG1|POMC|TAC1|TNF|TRPA1|TRPV1|VIP;6.79;47;;;;;;;;;;;;;;
3;4-dihydroxyphenylglycol;C010117;;Pain;MESH:D010146;marker/mechanism;COMT|PLCB1;6.61;3;;;;;;;;;;;;;
Cyclophosphamide;D003520;50-18-0;Neuralgia;MESH:D009437;marker/mechanism;CXCR4|GAL|GFRA1|IL12B|NTRK1|TAC1|TNF;6.58;5;;;;;;;;;;;;;;
Mirtazapine;D000078785;;Pain;MESH:D010146;marker/mechanism;AKT1|DRD2|HTR1A|NPPB|TNF;6.52;7;;;;;;;;;;;;;;
Doxorubicin;D004317;23214-92-8;Arthralgia;MESH:D018771;marker/mechanism;CSF3;6.41;4;;;;;;;;;;;;;;
Amiodarone;D000638;1951-25-3;Headache;MESH:D006261;marker/mechanism;IL6;6.40;3;;;;;;;;;;;;;;
Linoleic Acid;D019787;2197-37-7;Pain;MESH:D010146;marker/mechanism;ALB|CNR1|EDN1|IL2|TNF|TRPV1;6.39;11;;;;;;;;;;;;;;
trovafloxacin;C080163;146836-84-2;Headache;MESH:D006261;marker/mechanism;IL6;6.33;3;;;;;;;;;;;;;;
Testosterone;D013739;58-22-0;Angina Pectoris;MESH:D000787;marker/mechanism;AVP;6.23;3;;;;;;;;;;;;;;
Propylthiouracil;D011441;51-52-5;Arthralgia;MESH:D018771;marker/mechanism;MVK;6.22;12;;;;;;;;;;;;;;
Angiotensin-Converting Enzyme Inhibitors;D000806;;Pain;MESH:D010146;marker/mechanism;AVP|EDN1|IL2|KNG1|NPPA|NPPB;6.16;15;;;;;;;;;;;;;;
Lenalidomide;D000077269;191732-72-6;Neuralgia;MESH:D009437;marker/mechanism;IL12B|TNF;5.88;3;;;;;;;;;;;;;;
Amiodarone;D000638;1951-25-3;Pain;MESH:D010146;marker/mechanism;ABCB1A|AKT1|ALB|IL2|NPPA|NRG1|NTSR1|PDYN|TNF;5.84;14;;;;;;;;;;;;;;
Haloperidol;D006220;52-86-8;Headache;MESH:D006261;marker/mechanism;GNRH1|IL6;5.83;3;;;;;;;;;;;;;;
Paclitaxel;D017239;;Neuropathy, Painful;MESH:C564945;marker/mechanism;HMGB1|THBD;5.79;1;;;;;;;;;;;;;;
Acrolein;D000171;107-02-8;Pain;MESH:D010146;marker/mechanism;ADM|AKT1|ALB|CSF2|EDN1|GCH1|IL2|TAC1|TNF|TRPA1|TRPV1;5.79;19;;;;;;;;;;;;;;
Hexachlorocyclohexane;D001556;;Headache;MESH:D006261;marker/mechanism;GNRH1;5.76;3;;;;;;;;;;;;;;
astressin;C104416;170809-51-5;Pain;MESH:D010146;marker/mechanism;CRH|IL1RN;5.74;2;;;;;;;;;;;;;;
Methamphetamine;D008694;537-46-2;Chest Pain;MESH:D002637;marker/mechanism;CRH;5.58;3;;;;;;;;;;;;;;
Vincristine;D014750;;Neuropathy, Painful;MESH:C564945;marker/mechanism;HMGB1|THBD;5.35;1;;;;;;;;;;;;;;
8-Bromo Cyclic Adenosine Monophosphate;D015124;23583-48-4;Pain;MESH:D010146;marker/mechanism;AKT1|ALB|BDKRB1|BDKRB2|CNR1|CRH|NPPA|PENK|PLCB1|POMC|SLC9A1|TAC1|TNF|TRPA1;5.35;19;;;;;;;;;;;;;;
Butyrates;D002087;;Pain;MESH:D010146;marker/mechanism;AKT1|CSF3|IFNA2|IL2|TAC1|TNF|TRPV1;5.32;15;;;;;;;;;;;;;;
S-Nitroso-N-Acetylpenicillamine;D026423;79032-48-7;Pain;MESH:D010146;marker/mechanism;AKT1|EDN1|NPPA|TNF;5.31;7;;;;;;;;;;;;;;
Excitatory Amino Acid Agents;D018683;;Pain;MESH:D010146;marker/mechanism;CRH|KNG1|TNF;5.22;15;;;;;;;;;;;;;;
Hydrochlorothiazide;D006852;58-93-5;Pain;MESH:D010146;marker/mechanism;ALB|AVP|BDKRB1|EDN1|NPPB;5.14;8;;;;;;;;;;;;;;
Lipopolysaccharides;D008070;;Pain;MESH:D010146;marker/mechanism;ABCB1A|ADM|AKT1|ALB|AQP1|AVP|BDKRB1|BDKRB2|CACNA2D1|CNR1|CRH|CSF2|CSF3|DISC1|EDN1|GCH1|HCRT|HGF|HRH1|HTR1A|HTR7|IFNA2|IL1RN|IL2|KNG1|NPPA|NPPB|NRG1|NTSR1|OPRK1|PDYN|PNOC|POMC|TAC1|TNF|TRPA1|TRPV1;5.10;51;;;;;;;;;;;;;;
Melitten;D008555;20449-79-0;Pain;MESH:D010146;marker/mechanism;AKT1|DRD2|HTR1A|TNF|TRPV1;4.95;10;;;;;;;;;;;;;;
Nicotine;D009538;;Headache;MESH:D006261;marker/mechanism;IL6;4.71;4;;;;;;;;;;;;;;
Phorbol 12;13-Dibutyrate;D015240;37558-16-0;Pain;MESH:D010146;marker/mechanism;TAC1|TRPV1;4.65;7;;;;;;;;;;;;;
Superoxides;D013481;11062-77-4;Pain;MESH:D010146;marker/mechanism;ALB|EDN1|GCH1|POMC|TNF;4.64;10;;;;;;;;;;;;;;
Carbon Monoxide;D002248;630-08-0;Pain;MESH:D010146;marker/mechanism;ADM|AKT1|EDN1|NPPA|TNF;4.54;8;;;;;;;;;;;;;;
Diclofenac;D004008;15307-86-5;Headache;MESH:D006261;marker/mechanism;IL6;4.48;4;;;;;;;;;;;;;;
Oxaliplatin;D000077150;;Neuropathy, Painful;MESH:C564945;marker/mechanism;HMGB1|THBD;4.48;2;;;;;;;;;;;;;;
Alcohols;D000438;;Pain;MESH:D010146;marker/mechanism;AKT1|ALB|COMT|TNF;4.44;7;;;;;;;;;;;;;;
Tetracycline;D013752;60-54-8;Pain;MESH:D010146;marker/mechanism;ALB|CACNA2D1|NTSR1|POMC;4.37;11;;;;;;;;;;;;;;
Atorvastatin;D000069059;;Pain;MESH:D010146;marker/mechanism;ABCB1A|AKT1|CSF2|EDN1|NPPA|NPPB|POMC|TNF;4.28;16;;;;;;;;;;;;;;
Qingdai compound;C530990;;Headache;MESH:D006261;marker/mechanism;CSF3|IL6;4.27;3;;;;;;;;;;;;;;
Methoxychlor;D008731;72-43-5;Pain;MESH:D010146;marker/mechanism;AKT1|ALB|BDKRB2|CNR1|EDN1|GRIN1|HTR3B|IL2|KNG1|NRG1|PDYN|PNOC|TAC1|TNF|TRH;4.26;25;;;;;;;;;;;;;;
Acids;D000143;;Pain;MESH:D010146;marker/mechanism;TAC1|TRPV1;4.25;7;;;;;;;;;;;;;;
Kynurenic Acid;D007736;492-27-3;Pain;MESH:D010146;marker/mechanism;GRIN1|TNF;4.23;4;;;;;;;;;;;;;;
Air Pollutants; Occupational;D000395;;Headache;MESH:D006261;marker/mechanism;CSF3|IL6;4.11;4;;;;;;;;;;;;;
Fluorouracil;D005472;51-21-8;Angina, Unstable;MESH:D000789;marker/mechanism;CXCL8|PLAU;4.08;3;;;;;;;;;;;;;;
iodixanol;C044834;92339-11-2;Pain;MESH:D010146;marker/mechanism;AKT1|EDN1;4.05;4;;;;;;;;;;;;;;
Acetylcysteine;D000111;616-91-1;Headache;MESH:D006261;marker/mechanism;IL6;4.04;3;;;;;;;;;;;;;;
farnesyl pyrophosphate;C004808;13058-04-3;Pain;MESH:D010146;marker/mechanism;AKT1|TNF;4.03;4;;;;;;;;;;;;;;
Methotrexate;D008727;59-05-2;Pain;MESH:D010146;marker/mechanism;ADM|AKT1|ALB|AVP|CNR1|COMT|CSF3|EDN1|GCH1|HCRT|HRH1|IL1RN|IL2|KNG1|NPPA|NPPB|NPR1|NRG1|OPRK1|TNF;3.99;34;;;;;;;;;;;;;;
Pharmaceutical Vehicles;D014677;;Pain;MESH:D010146;marker/mechanism;KNG1;3.98;8;;;;;;;;;;;;;;
Cyclophosphamide;D003520;50-18-0;Headache;MESH:D006261;marker/mechanism;IL6;3.97;3;;;;;;;;;;;;;;
ropinirole;C046649;91374-21-9;Pain;MESH:D010146;marker/mechanism;DRD2|TNF;3.97;4;;;;;;;;;;;;;;
Chlorpropamide;D002747;94-20-2;Angina Pectoris;MESH:D000787;marker/mechanism;AVP;3.89;3;;;;;;;;;;;;;;
Amphetamine;D000661;300-62-9;Chest Pain;MESH:D002637;marker/mechanism;CRH;3.88;2;;;;;;;;;;;;;;
Isotretinoin;D015474;4759-48-2;Headache;MESH:D006261;marker/mechanism;IFNA2|IL6;3.88;6;;;;;;;;;;;;;;
Diethylstilbestrol;D004054;56-53-1;Pain;MESH:D010146;marker/mechanism;AKT1|ALB|AVP|COMT|GCH1|NPPA|NPPB|NRG1|OXT|PDYN|PLCB1|TNF|VIP;3.84;16;;;;;;;;;;;;;;
Glucose;D005947;50-99-7;Neuralgia;MESH:D009437;marker/mechanism;AGER|CXCR4|HMGB1|IL12B|NTRK1|PRKG1|TNF|TNFSF8;3.81;7;;;;;;;;;;;;;;
Desipramine;D003891;50-47-5;Pain;MESH:D010146;marker/mechanism;HTR1A|PLCB1|TAC1|TNF;3.80;8;;;;;;;;;;;;;;
Alprostadil;D000527;745-65-3;Pain;MESH:D010146;marker/mechanism;NPPA|NPPB|TNF;3.79;6;;;;;;;;;;;;;;
Dacarbazine;D003606;04/03/4342;Headache;MESH:D006261;marker/mechanism;IFNA2|IL6;3.78;3;;;;;;;;;;;;;;
Permethrin;D026023;52645-53-1;Chronic Pain;MESH:D059350;marker/mechanism;SCN9A;3.77;2;;;;;;;;;;;;;;
Edetic Acid;D004492;60-00-4;Back Pain;MESH:D001416;marker/mechanism;PLAT;3.76;3;;;;;;;;;;;;;;
Edetic Acid;D004492;60-00-4;Pain;MESH:D010146;marker/mechanism;ALB|TNF|TRPV1;3.74;8;;;;;;;;;;;;;;
Streptozocin;D013311;18883-66-4;Pain;MESH:D010146;marker/mechanism;AKT1|ALB|AQP1|AVP|BDKRB1|BDKRB2|CNR1|EDN1|GRIN1|HTR1A|IL1RN|IL2|KNG1|NPPA|NPPB|PLCB1|POMC|TAC1|TNF|TRH;3.71;29;;;;;;;;;;;;;;
Tetracycline;D013752;60-54-8;Headache;MESH:D006261;marker/mechanism;IL6;3.69;4;;;;;;;;;;;;;;
Contrast Media;D003287;;Pain;MESH:D010146;marker/mechanism;AKT1|EDN1;3.66;6;;;;;;;;;;;;;;
Iodoacetates;D007461;;Pain;MESH:D010146;marker/mechanism;CACNA2D1;3.66;3;;;;;;;;;;;;;;
Vitamin A;D014801;11103-57-4;Pain;MESH:D010146;marker/mechanism;ABCB1A|AKT1|ALB|DRD2|IL2|POMC|TNF;3.65;12;;;;;;;;;;;;;;
Cocaine;D003042;50-36-2;Chest Pain;MESH:D002637;marker/mechanism;CRH;3.63;68;;;;;;;;;;;;;;
Disulfiram;D004221;97-77-8;Headache;MESH:D006261;marker/mechanism;IL6;3.63;3;;;;;;;;;;;;;;
Gemcitabine;D000093542;;Pain;MESH:D010146;marker/mechanism;AKT1|CNR1|CSF2|CSF3|EDN1|IFNA2|NRG1|TNF;3.58;12;;;;;;;;;;;;;;
Vinblastine;D014747;865-21-4;Pain;MESH:D010146;marker/mechanism;ABCB1A;3.57;3;;;;;;;;;;;;;;
2-(3;4-dimethoxybenzyl)-7-(1-(1-hydroxyethyl)-4-phenylbutyl)-5-methylimidazo(5;1-f)(1;2;4)triazin-4 (3H)-one;C539142;;Pain;MESH:D010146;marker/mechanism;NPPA;3.56;2;;;;;;;;;;
Sulfur Dioxide;D013458;05/09/7446;Pain;MESH:D010146;marker/mechanism;CNR1|EDN1|GRIN1|IL2|TNF;3.56;8;;;;;;;;;;;;;;
Vincristine;D014750;;Angina Pectoris;MESH:D000787;marker/mechanism;AVP;3.54;3;;;;;;;;;;;;;;
Zalcitabine;D016047;7481-89-2;Neuralgia;MESH:D009437;marker/mechanism;CXCR4;3.52;2;;;;;;;;;;;;;;
Azathioprine;D001379;446-86-6;Headache;MESH:D006261;marker/mechanism;CSF3|IL6;3.51;4;;;;;;;;;;;;;;
Prazosin;D011224;19216-56-9;Angina Pectoris;MESH:D000787;marker/mechanism;AVP;3.48;4;;;;;;;;;;;;;;
Chlorpyrifos;D004390;2921-88-2;Chronic Pain;MESH:D059350;marker/mechanism;SCN9A;3.48;2;;;;;;;;;;;;;;
Terbutaline;D013726;23031-25-6;Chest Pain;MESH:D002637;marker/mechanism;CRH;3.47;3;;;;;;;;;;;;;;
Tacrolimus;D016559;109581-93-3;Pain;MESH:D010146;marker/mechanism;CSF2|DRD2|EDN1|HTR1A|IL1RN|IL2|NPPA|NPPB|NPR1|TNF|TRPV1;3.46;18;;;;;;;;;;;;;;
Fluorouracil;D005472;51-21-8;Angina Pectoris;MESH:D000787;marker/mechanism;PLAU;3.45;24;;;;;;;;;;;;;;
Lamivudine;D019259;134678-17-4;Headache;MESH:D006261;marker/mechanism;IFNA2;3.42;5;;;;;;;;;;;;;;
Diethylstilbestrol;D004054;56-53-1;Dysmenorrhea;MESH:D004412;marker/mechanism;AVP|OXT;3.40;2;;;;;;;;;;;;;;
Paclitaxel;D017239;;Headache;MESH:D006261;marker/mechanism;CSF3|IL6|OXT;3.39;6;;;;;;;;;;;;;;
Methylprednisolone;D008775;83-43-2;Neuralgia;MESH:D009437;marker/mechanism;CXCR4|TNF;3.39;3;;;;;;;;;;;;;;
Donepezil;D000077265;120011-70-3;Pain;MESH:D010146;marker/mechanism;ALB|NPPB|TNF;3.39;5;;;;;;;;;;;;;;
Thalidomide;D013792;50-35-1;Headache;MESH:D006261;marker/mechanism;CSF3|IL6;3.36;4;;;;;;;;;;;;;;
Levamisole;D007978;14769-73-4;Pain;MESH:D010146;marker/mechanism;EDN1|IL2|TNF;3.35;6;;;;;;;;;;;;;;
Naloxone;D009270;465-65-6;Angina Pectoris;MESH:D000787;marker/mechanism;AVP;3.33;3;;;;;;;;;;;;;;
